epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.72595,1.05786,2.93199,1.27392,0.00616,1,0.54059,0.39032,0.87397,2.69153,1.01545,0.00040008,0.00040008,0.00040008
2,5.26548,1.09367,1.90844,1.29797,0.94765,0.26786,0.59757,0.39267,1.20358,2.54175,1.31315,0.000814134,0.000814134,0.000814134
3,7.79146,1.05434,1.50983,1.22537,0.47733,0.29602,0.46822,0.30651,1.16638,2.31737,1.54558,0.00122544,0.00122544,0.00122544
4,10.2491,1.07959,1.39699,1.24886,0.89418,0.60231,0.7836,0.44792,1.13189,1.64126,1.25473,0.00163399,0.00163399,0.00163399
5,12.7029,1.09631,1.28313,1.22811,0.37045,0.53214,0.479,0.33862,0.9905,1.81669,1.20189,0.001645,0.001645,0.001645
6,15.1345,1.10301,1.17543,1.25958,0.95082,0.83169,0.96042,0.63722,0.99359,1.46329,1.17236,0.00163949,0.00163949,0.00163949
7,17.5974,1.07602,1.12412,1.21775,0.79082,0.76803,0.82758,0.64075,0.87515,1.23143,1.06347,0.00163399,0.00163399,0.00163399
8,20.0366,1.0206,1.05367,1.19701,0.28377,0.33929,0.36092,0.25283,1.01644,2.81439,1.19471,0.00162849,0.00162849,0.00162849
9,22.4658,0.9876,0.94288,1.18927,0.95086,0.99774,0.99045,0.77941,0.86722,0.75428,0.974,0.00162299,0.00162299,0.00162299
10,24.9066,1.00851,0.89426,1.19235,0.98701,0.93802,0.97278,0.74668,0.85398,0.67286,1.03574,0.00161749,0.00161749,0.00161749
11,27.3344,0.95055,0.82328,1.13376,0.98846,0.91938,0.99204,0.7374,0.88505,0.76385,1.10498,0.00161199,0.00161199,0.00161199
12,29.7731,0.95189,0.78528,1.16261,1,0.96882,0.995,0.78157,0.93631,0.57115,1.01269,0.00160649,0.00160649,0.00160649
13,32.2147,0.94259,0.74519,1.13715,0.92607,0.93214,0.96073,0.76949,0.78609,0.55798,0.97809,0.00160099,0.00160099,0.00160099
14,34.638,0.93559,0.74373,1.14481,0.9328,0.98347,0.98994,0.80072,0.70829,0.50665,0.93624,0.00159549,0.00159549,0.00159549
15,37.084,0.94907,0.71485,1.14245,0.98635,0.99587,0.995,0.75634,0.89847,0.56089,1.03024,0.00158998,0.00158998,0.00158998
16,39.5193,0.86903,0.68133,1.11026,0.9257,0.93016,0.97897,0.77806,0.75483,0.60658,0.96245,0.00158448,0.00158448,0.00158448
17,41.9461,0.91107,0.65825,1.11595,0.7636,0.75768,0.7974,0.46886,1.59868,1.14865,1.42774,0.00157898,0.00157898,0.00157898
18,44.3723,0.97633,0.6676,1.16336,0.98203,0.96128,0.994,0.85125,0.78775,0.50012,0.94995,0.00157348,0.00157348,0.00157348
19,46.8057,0.88117,0.63273,1.11164,0.82825,0.88214,0.91132,0.7012,0.93581,0.67539,1.01026,0.00156798,0.00156798,0.00156798
20,49.2489,0.89778,0.63668,1.11949,0.87677,0.98214,0.97646,0.80729,0.66384,0.44848,0.89609,0.00156248,0.00156248,0.00156248
21,51.6745,0.82594,0.60339,1.09576,0.93417,0.98658,0.98591,0.77203,0.7449,0.54406,0.94576,0.00155698,0.00155698,0.00155698
22,54.0963,0.84567,0.57102,1.10277,0.93776,1,0.99045,0.78246,0.6813,0.46031,0.94245,0.00155148,0.00155148,0.00155148
23,56.5222,0.90625,0.58202,1.12814,0.98978,0.93545,0.97625,0.78801,0.88508,0.4915,0.968,0.00154598,0.00154598,0.00154598
24,58.9623,0.92605,0.61705,1.13539,0.9469,0.9731,0.98647,0.81083,0.76202,0.57025,0.93108,0.00154047,0.00154047,0.00154047
25,61.3971,0.86593,0.57103,1.11825,0.97601,0.98793,0.99448,0.79311,0.75387,0.46767,0.94145,0.00153497,0.00153497,0.00153497
26,63.8216,0.84501,0.58742,1.10876,0.91383,0.70038,0.84197,0.61948,0.89313,0.94213,1.03397,0.00152947,0.00152947,0.00152947
27,66.2558,0.85233,0.57077,1.11693,0.96094,0.91429,0.96754,0.79837,0.72626,0.4938,0.91628,0.00152397,0.00152397,0.00152397
28,68.6888,0.84911,0.57212,1.10543,0.98476,0.98214,0.99448,0.83629,0.71746,0.38401,0.92481,0.00151847,0.00151847,0.00151847
29,71.1117,0.84088,0.53819,1.10373,0.98589,0.99644,0.995,0.85441,0.65825,0.39011,0.89893,0.00151297,0.00151297,0.00151297
30,73.5407,0.81768,0.53499,1.08644,0.9693,0.98214,0.99313,0.76274,0.91591,0.4406,1.0046,0.00150747,0.00150747,0.00150747
31,75.9662,0.80791,0.53415,1.06288,0.99185,1,0.995,0.84559,0.67035,0.38012,0.88962,0.00150197,0.00150197,0.00150197
32,78.4011,0.84761,0.54404,1.09936,0.94509,0.92857,0.97969,0.79916,0.82594,0.65963,0.92679,0.00149647,0.00149647,0.00149647
33,80.8229,0.83242,0.52956,1.09334,0.98008,0.99147,0.995,0.84997,0.72988,0.52461,0.89001,0.00149096,0.00149096,0.00149096
34,83.2552,0.76838,0.52003,1.05713,0.95184,0.99936,0.995,0.83604,0.67353,0.40919,0.88211,0.00148546,0.00148546,0.00148546
35,85.6791,0.81188,0.51705,1.08776,1,0.99304,0.995,0.8317,0.70118,0.4233,0.8944,0.00147996,0.00147996,0.00147996
36,88.1137,0.79547,0.49294,1.08171,0.99567,0.93204,0.98945,0.80364,0.70676,0.42039,0.91482,0.00147446,0.00147446,0.00147446
37,90.5438,0.86932,0.52651,1.11292,0.99233,0.96819,0.994,0.84596,0.67687,0.37296,0.89811,0.00146896,0.00146896,0.00146896
38,92.966,0.8061,0.51967,1.0813,0.8663,0.89124,0.9119,0.77025,0.73478,0.53873,0.92898,0.00146346,0.00146346,0.00146346
39,95.3902,0.77303,0.48627,1.06524,0.99267,0.99758,0.995,0.81504,0.6811,0.38334,0.90209,0.00145796,0.00145796,0.00145796
40,97.8274,0.78905,0.49025,1.0744,1,0.9865,0.995,0.83271,0.67521,0.39508,0.88587,0.00145246,0.00145246,0.00145246
41,100.267,0.7912,0.49623,1.07989,0.99468,1,0.995,0.87453,0.67216,0.35943,0.88101,0.00144696,0.00144696,0.00144696
42,102.706,0.77998,0.50726,1.0657,0.98122,0.98214,0.99448,0.84313,0.71351,0.39314,0.89336,0.00144145,0.00144145,0.00144145
43,105.13,0.75883,0.49226,1.0582,0.68212,0.8011,0.68737,0.48244,0.92327,0.75815,1.03886,0.00143595,0.00143595,0.00143595
44,107.56,0.77316,0.48069,1.05756,0.98617,1,0.995,0.82094,0.71018,0.36047,0.90796,0.00143045,0.00143045,0.00143045
45,109.987,0.77917,0.47794,1.06157,0.97555,0.98303,0.99448,0.82523,0.69366,0.38766,0.88545,0.00142495,0.00142495,0.00142495
46,112.412,0.77886,0.48633,1.05807,0.99498,1,0.995,0.83531,0.66888,0.34699,0.88645,0.00141945,0.00141945,0.00141945
47,114.838,0.79796,0.48373,1.08082,0.94703,1,0.98591,0.85859,0.68724,0.36551,0.87861,0.00141395,0.00141395,0.00141395
48,117.272,0.73094,0.43758,1.04768,0.99055,1,0.995,0.87294,0.67679,0.36774,0.87921,0.00140845,0.00140845,0.00140845
49,119.7,0.73441,0.4623,1.05821,0.97767,0.93214,0.98244,0.78714,0.6335,0.39402,0.87382,0.00140295,0.00140295,0.00140295
50,122.125,0.73165,0.47781,1.04551,0.99617,0.98747,0.995,0.8328,0.74598,0.38663,0.89314,0.00139745,0.00139745,0.00139745
51,124.546,0.75551,0.48771,1.05917,0.9836,0.97168,0.99355,0.85325,0.62474,0.37426,0.87117,0.00139195,0.00139195,0.00139195
52,126.985,0.74722,0.46103,1.04974,0.92084,0.84721,0.89974,0.62775,0.85955,0.69684,1.02899,0.00138644,0.00138644,0.00138644
53,129.419,0.7574,0.46313,1.07552,0.69999,0.625,0.70095,0.48958,1.25945,0.70582,1.29162,0.00138094,0.00138094,0.00138094
54,131.847,0.75079,0.46477,1.04412,0.99121,0.99767,0.995,0.87323,0.6949,0.33661,0.87532,0.00137544,0.00137544,0.00137544
55,134.273,0.71152,0.45243,1.03387,0.99028,0.99834,0.995,0.86888,0.64119,0.35693,0.85222,0.00136994,0.00136994,0.00136994
56,136.71,0.72999,0.4567,1.04064,0.97352,1,0.99448,0.85952,0.63468,0.37494,0.87165,0.00136444,0.00136444,0.00136444
57,139.144,0.71448,0.43189,1.03347,0.98347,0.99791,0.995,0.84875,0.68712,0.41903,0.86992,0.00135894,0.00135894,0.00135894
58,141.573,0.70881,0.44789,1.03518,0.92478,0.98596,0.98591,0.84951,0.68875,0.3665,0.88461,0.00135344,0.00135344,0.00135344
59,143.999,0.70997,0.43933,1.05695,0.91013,0.99553,0.98667,0.74121,0.76697,0.51215,0.91571,0.00134794,0.00134794,0.00134794
60,146.443,0.70896,0.43554,1.03443,0.91972,0.83491,0.94069,0.74393,0.81877,0.67685,0.99065,0.00134244,0.00134244,0.00134244
61,148.873,0.72931,0.45028,1.05983,0.9911,0.99131,0.995,0.8675,0.55917,0.31078,0.84442,0.00133693,0.00133693,0.00133693
