epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.731255,1.44676,3.69653,1.17913,0.00333,1,0.00357,0.00234,0.8484,3.64972,0.96864,6e-05,6e-05,6e-05
2,1.37388,1.26663,3.5683,1.12878,0.00333,1,0.68147,0.52765,0.66739,3.15127,0.85551,0.000139538,0.000139538,0.000139538
3,2.05553,1.07336,2.92816,0.96853,0.00333,1,0.995,0.73276,0.75524,3.23555,0.86124,0.000218548,0.000218548,0.000218548
4,2.68864,1.11034,2.09544,0.99444,0.00333,1,0.995,0.70386,0.9083,3.08694,0.88814,0.00029703,0.00029703,0.00029703
5,3.28479,1.02525,1.69837,0.99226,0.00333,1,0.995,0.68467,0.81883,3.13031,0.88041,0.000374984,0.000374984,0.000374984
6,3.87706,1.03583,1.72111,1.02655,0.00333,1,0.995,0.71778,0.7877,3.20772,0.881,0.00045241,0.00045241,0.00045241
7,4.46904,1.02948,1.81545,1.06456,0.00333,1,0.995,0.61142,0.76226,3.44127,0.94304,0.000529308,0.000529308,0.000529308
8,5.06563,1.02766,1.76472,1.03279,0.00333,1,0.88553,0.52398,0.73309,3.34886,0.947,0.000605678,0.000605678,0.000605678
9,5.65983,0.95393,1.52298,0.99165,0.00333,1,0.28206,0.1616,0.7673,3.31214,0.93696,0.00068152,0.00068152,0.00068152
10,6.25655,1.07112,1.63578,1.07821,0.00333,1,0.31606,0.18201,0.8196,3.26224,0.98827,0.000756834,0.000756834,0.000756834
11,6.84948,0.98643,1.62129,1.0532,0.00333,1,0.10232,0.08231,0.7747,3.36576,0.95558,0.00083162,0.00083162,0.00083162
12,7.44199,0.99284,1.45507,1.0422,0.00333,1,0.60181,0.51599,0.70025,3.29397,0.91292,0.000905878,0.000905878,0.000905878
13,8.03548,1.08143,1.6048,1.05458,0.00333,1,0.28901,0.23186,0.57807,3.2416,0.88954,0.000979608,0.000979608,0.000979608
14,8.61789,1.08425,1.40178,1.0815,0.00333,1,0.28845,0.23768,0.62647,3.31432,0.91,0.00105281,0.00105281,0.00105281
15,9.21276,1.05166,1.51045,1.08254,0.91358,1,0.995,0.75485,0.85418,2.83513,1.00775,0.00112548,0.00112548,0.00112548
16,9.80903,1.1295,1.37612,1.0711,0.87397,1,0.995,0.7325,0.85448,2.69024,1.04746,0.00119763,0.00119763,0.00119763
17,10.395,1.0394,1.46612,1.05757,1,0.64687,0.995,0.79365,0.76308,2.69938,0.98213,0.00126925,0.00126925,0.00126925
18,10.998,1.04089,1.40301,1.06619,0.972,1,0.995,0.76566,0.74446,2.34304,0.98894,0.00134034,0.00134034,0.00134034
19,11.5842,1.03109,1.36557,1.08077,0.95308,1,0.995,0.84587,0.73919,2.34497,0.93125,0.0014109,0.0014109,0.0014109
20,12.1824,0.91117,1.33127,1.0591,0.94504,1,0.995,0.84924,0.71309,2.41215,0.91465,0.00148093,0.00148093,0.00148093
21,12.7915,1.00134,1.28735,1.05968,0.91677,1,0.995,0.82079,0.80874,2.21421,0.95428,0.00155044,0.00155044,0.00155044
22,13.3762,0.89519,1.15322,1.01537,0.95444,1,0.995,0.85594,0.75238,2.39712,0.93175,0.00161942,0.00161942,0.00161942
23,13.9721,1.01741,1.19978,1.05314,0.96157,1,0.995,0.81483,0.82094,2.2045,0.984,0.00168787,0.00168787,0.00168787
24,14.5622,0.98771,1.16926,1.0647,0.97416,1,0.995,0.83996,0.77373,2.14168,0.95891,0.00175579,0.00175579,0.00175579
25,15.1486,0.97427,1.19302,1.07316,0.96394,1,0.995,0.82387,0.75002,2.24075,0.9498,0.00182318,0.00182318,0.00182318
26,15.7353,1.01201,1.24983,1.02909,1,0.96835,0.995,0.83348,0.75112,2.27627,0.92732,0.001835,0.001835,0.001835
27,16.3206,0.91064,1.11685,1.00323,1,0.95869,0.995,0.75757,0.85623,2.0653,0.98473,0.0018284,0.0018284,0.0018284
28,16.9063,1.00083,1.13446,1.08059,1,0.49689,0.995,0.51969,1.70822,2.74775,1.54132,0.0018218,0.0018218,0.0018218
29,17.498,1.28161,1.19157,1.17751,1,0.61858,0.995,0.60111,1.41985,2.68873,1.33419,0.0018152,0.0018152,0.0018152
30,18.0915,1.03588,1.23064,1.07713,0.93731,1,0.995,0.74974,0.96019,2.13448,1.02601,0.0018086,0.0018086,0.0018086
31,18.6756,1.107,1.22929,1.15805,0.95216,1,0.995,0.84316,0.82018,1.93131,0.96644,0.001802,0.001802,0.001802
32,19.2733,1.01705,1.20189,1.04329,0.97852,1,0.995,0.76987,0.89643,1.64955,1.02495,0.0017954,0.0017954,0.0017954
33,19.8562,0.99735,1.1232,1.05555,1,0.95455,0.995,0.80327,0.89982,1.7589,1.00746,0.0017888,0.0017888,0.0017888
34,20.4466,1.00282,1.03027,1.04269,1,0.49767,0.87,0.70427,0.76053,2.25154,0.91578,0.0017822,0.0017822,0.0017822
35,21.0387,0.91419,0.96545,1.05848,1,0.51179,0.7318,0.61025,0.8006,2.55934,0.94309,0.0017756,0.0017756,0.0017756
36,21.6214,0.88674,1.04463,1.02463,0.8412,0.5,0.54186,0.44172,0.7934,3.05779,0.99343,0.001769,0.001769,0.001769
37,22.2038,0.91245,0.99957,1.02905,0.00333,1,0.41782,0.35853,0.76728,3.20321,0.9696,0.0017624,0.0017624,0.0017624
38,22.7846,0.87336,1.00745,1.01563,0.98497,0.33333,0.35493,0.2983,0.74458,2.81031,0.97978,0.0017558,0.0017558,0.0017558
39,23.3655,0.83892,0.85342,0.97671,1,0.49367,0.87433,0.72243,0.61142,1.85956,0.88742,0.0017492,0.0017492,0.0017492
40,23.9468,0.83007,0.85409,1.00655,0.96921,1,0.995,0.79681,0.83448,1.4195,0.98324,0.0017426,0.0017426,0.0017426
41,24.5278,0.894,0.8816,1.01026,0.98902,1,0.995,0.86267,0.65051,0.79308,0.90116,0.001736,0.001736,0.001736
42,25.1266,0.82758,0.91876,1.02492,0.99141,1,0.995,0.85139,0.71302,0.80485,0.91193,0.0017294,0.0017294,0.0017294
43,25.7095,0.88442,0.87885,0.99525,0.99173,1,0.995,0.84037,0.70589,0.74939,0.90891,0.0017228,0.0017228,0.0017228
44,26.2906,0.854,0.85072,0.98443,0.992,1,0.995,0.88285,0.69741,0.68645,0.90229,0.0017162,0.0017162,0.0017162
45,26.8867,0.89217,0.88421,1.04435,0.99262,1,0.995,0.86355,0.69208,0.80273,0.91355,0.0017096,0.0017096,0.0017096
46,27.4695,0.86846,0.83879,0.98883,0.99249,1,0.995,0.86806,0.65098,0.75236,0.88841,0.001703,0.001703,0.001703
47,28.057,0.80895,0.82595,0.99455,0.99034,1,0.995,0.82287,0.6219,0.63887,0.88068,0.0016964,0.0016964,0.0016964
48,28.6525,0.84875,0.79616,1.03147,0.99229,1,0.995,0.84247,0.6289,0.63802,0.88636,0.0016898,0.0016898,0.0016898
49,29.2436,0.8177,0.87788,1.03168,0.99234,1,0.995,0.80705,0.68703,0.59258,0.9072,0.0016832,0.0016832,0.0016832
50,29.8305,0.86896,0.85603,1.00783,0.99216,1,0.995,0.85107,0.64228,0.56678,0.87603,0.0016766,0.0016766,0.0016766
51,30.4259,0.80893,0.80848,0.99292,0.99209,1,0.995,0.90102,0.57893,0.62257,0.85802,0.00167,0.00167,0.00167
52,31.0302,0.81303,0.78342,0.98012,0.99223,1,0.995,0.84582,0.70947,0.6111,0.90029,0.0016634,0.0016634,0.0016634
53,31.6161,0.87022,0.82343,1.05391,0.99214,1,0.995,0.76857,0.99215,0.63154,1.05241,0.0016568,0.0016568,0.0016568
54,32.1979,0.8866,0.76104,1.05018,0.99204,1,0.995,0.77699,0.90873,0.67505,1.01146,0.0016502,0.0016502,0.0016502
55,32.7899,0.78407,0.79644,0.99785,0.99175,1,0.995,0.80223,0.88001,0.6091,0.98938,0.0016436,0.0016436,0.0016436
56,33.3853,0.77767,0.77465,0.94631,0.99064,1,0.995,0.78524,0.95824,0.66504,1.01356,0.001637,0.001637,0.001637
57,33.9864,0.77816,0.77665,0.95938,0.99182,1,0.995,0.76025,0.90367,0.61854,0.98162,0.0016304,0.0016304,0.0016304
58,34.5963,0.79008,0.71025,0.97622,0.99072,1,0.995,0.69401,1.1689,0.70428,1.13324,0.0016238,0.0016238,0.0016238
59,35.1841,0.77485,0.70278,0.97855,0.9917,1,0.995,0.80691,0.77714,0.73014,0.94861,0.0016172,0.0016172,0.0016172
60,35.7667,0.7501,0.67436,0.95686,0.98843,1,0.995,0.83806,0.64316,0.78469,0.88307,0.0016106,0.0016106,0.0016106
61,36.3587,0.77991,0.65512,0.95063,0.98674,1,0.995,0.79918,0.71139,1.09419,0.89962,0.001604,0.001604,0.001604
62,36.9451,0.72007,0.70052,0.96801,0.98786,1,0.995,0.7798,0.98054,1.02763,1.06462,0.0015974,0.0015974,0.0015974
63,37.538,0.81444,0.72579,1.00669,0.99142,1,0.995,0.82344,0.82099,0.59165,0.9504,0.0015908,0.0015908,0.0015908
64,38.1249,0.79807,0.68632,0.97455,0.9927,1,0.995,0.82904,0.66616,0.50509,0.87809,0.0015842,0.0015842,0.0015842
65,38.7216,0.84719,0.70199,0.99087,0.99254,1,0.995,0.80757,0.66623,0.46971,0.88273,0.0015776,0.0015776,0.0015776
66,39.3154,0.75685,0.66475,0.96661,0.99162,1,0.995,0.83658,0.69835,0.46294,0.88886,0.001571,0.001571,0.001571
67,39.8947,0.6551,0.60638,0.89184,0.99053,1,0.995,0.83741,0.72166,0.53342,0.90088,0.0015644,0.0015644,0.0015644
68,40.4771,0.70562,0.69563,0.94183,0.99044,1,0.995,0.8445,0.71794,0.50543,0.90013,0.0015578,0.0015578,0.0015578
69,41.0612,0.83649,0.63752,0.99513,0.99168,1,0.995,0.84924,0.664,0.42699,0.88119,0.0015512,0.0015512,0.0015512
70,41.6431,0.73232,0.6379,0.93467,0.99224,1,0.995,0.84924,0.61704,0.43768,0.86627,0.0015446,0.0015446,0.0015446
71,42.2295,0.85146,0.67273,0.99147,0.9925,1,0.995,0.84924,0.62763,0.47059,0.86921,0.001538,0.001538,0.001538
72,42.8219,0.77454,0.64894,1.0074,0.99259,1,0.995,0.85751,0.69425,0.47545,0.91324,0.0015314,0.0015314,0.0015314
73,43.4081,0.8014,0.64373,0.98816,0.99214,1,0.995,0.80804,0.82601,0.45104,0.99356,0.0015248,0.0015248,0.0015248
74,43.9898,0.86757,0.6794,1.02062,0.99208,1,0.995,0.81934,0.78739,0.47522,0.95833,0.0015182,0.0015182,0.0015182
75,44.5714,0.74401,0.60886,0.96986,0.99188,1,0.995,0.8878,0.60788,0.43897,0.86478,0.0015116,0.0015116,0.0015116
76,45.155,0.74433,0.59009,0.93745,0.9922,1,0.995,0.89631,0.5617,0.40709,0.85082,0.001505,0.001505,0.001505
77,45.7358,0.758,0.62967,0.92918,0.99208,1,0.995,0.88213,0.59192,0.39532,0.8716,0.0014984,0.0014984,0.0014984
